iter	Passed	Remaining
0	145	145546
1	147	73550
2	148	49427
3	149	37335
4	151	30062
5	152	25290
6	153	21797
7	154	19194
8	155	17143
9	157	15618
10	159	14377
11	162	13339
12	164	12483
13	166	11723
14	168	11080
15	169	10434
16	171	9892
17	171	9379
18	173	8954
19	174	8554
20	175	8188
21	177	7871
22	178	7565
23	179	7310
24	180	7049
25	182	6828
26	183	6607
27	184	6397
28	185	6224
29	186	6042
30	188	5891
31	190	5758
32	191	5609
33	193	5487
34	194	5375
35	195	5248
36	197	5140
37	198	5025
38	199	4925
39	201	4825
40	202	4728
41	203	4634
42	204	4551
43	205	4462
44	206	4391
45	208	4323
46	210	4265
47	211	4192
48	213	4140
49	214	4070
50	215	4010
51	216	3953
52	218	3895
53	219	3845
54	221	3800
55	222	3743
56	223	3695
57	224	3647
58	225	3597
59	226	3551
60	228	3511
61	229	3466
62	230	3423
63	231	3388
64	233	3354
65	234	3314
66	235	3281
67	236	3247
68	238	3216
69	239	3188
70	241	3158
71	242	3128
72	243	3098
73	244	3063
74	245	3031
75	247	3005
76	248	2978
77	249	2951
78	250	2925
79	252	2900
80	253	2876
81	254	2850
82	255	2818
83	256	2796
84	257	2773
85	258	2750
86	259	2725
87	260	2701
88	262	2683
89	263	2665
90	264	2646
91	266	2628
92	267	2607
93	268	2588
94	269	2569
95	270	2550
96	272	2532
97	273	2514
98	274	2495
99	275	2477
100	276	2459
101	277	2441
102	278	2424
103	279	2406
104	280	2388
105	280	2369
106	281	2351
107	282	2333
108	283	2317
109	284	2300
110	285	2283
111	285	2266
112	286	2249
113	287	2233
114	288	2217
115	288	2200
116	289	2183
117	290	2167
118	290	2152
119	291	2137
120	292	2122
121	292	2106
122	293	2090
123	293	2076
124	294	2061
125	295	2047
126	295	2032
127	296	2019
128	297	2006
129	297	1993
130	298	1980
131	299	1967
132	299	1955
133	300	1942
134	301	1930
135	301	1917
136	302	1906
137	303	1894
138	303	1882
139	304	1871
140	305	1860
141	305	1847
142	306	1836
143	306	1824
144	307	1813
145	308	1802
146	308	1791
147	309	1781
148	310	1771
149	310	1760
150	311	1750
151	312	1740
152	312	1730
153	313	1720
154	313	1711
155	314	1701
156	315	1692
157	315	1683
158	316	1674
159	317	1664
160	317	1654
161	318	1645
162	318	1637
163	319	1628
164	319	1619
165	320	1610
166	321	1602
167	321	1594
168	322	1586
169	323	1578
170	323	1569
171	324	1561
172	325	1554
173	325	1545
174	326	1537
175	326	1530
176	327	1523
177	328	1515
178	328	1508
179	329	1501
180	330	1494
181	330	1487
182	331	1480
183	332	1472
184	332	1465
185	333	1458
186	333	1451
187	334	1444
188	335	1437
189	335	1431
190	336	1424
191	336	1417
192	337	1411
193	338	1404
194	338	1398
195	339	1392
196	339	1385
197	340	1379
198	341	1373
199	342	1368
200	342	1363
201	343	1357
202	344	1351
203	344	1345
204	345	1339
205	346	1333
206	346	1327
207	347	1322
208	347	1316
209	348	1310
210	349	1305
211	349	1299
212	350	1294
213	350	1288
214	351	1282
215	352	1277
216	352	1272
217	353	1267
218	353	1262
219	354	1256
220	355	1251
221	355	1246
222	356	1241
223	356	1236
224	357	1231
225	358	1226
226	358	1221
227	359	1216
228	359	1212
229	360	1207
230	361	1202
231	361	1197
232	362	1193
233	363	1188
234	363	1183
235	364	1179
236	364	1174
237	365	1170
238	366	1165
239	366	1161
240	367	1156
241	367	1152
242	368	1147
243	369	1143
244	369	1139
245	370	1134
246	370	1130
247	371	1126
248	371	1121
249	372	1117
250	373	1113
251	373	1109
252	374	1105
253	375	1101
254	375	1097
255	376	1093
256	376	1089
257	377	1085
258	378	1081
259	378	1077
260	379	1073
261	379	1070
262	380	1066
263	381	1062
264	381	1058
265	382	1055
266	383	1051
267	383	1048
268	384	1044
269	384	1040
270	385	1036
271	386	1033
272	386	1029
273	387	1026
274	387	1022
275	388	1019
276	389	1016
277	389	1012
278	390	1009
279	391	1005
280	391	1002
281	392	999
282	393	995
283	393	992
284	394	989
285	394	985
286	395	982
287	396	979
288	396	975
289	397	972
290	397	969
291	398	966
292	399	963
293	399	960
294	400	957
295	401	954
296	401	951
297	402	947
298	403	944
299	403	941
300	404	938
301	404	935
302	405	932
303	406	929
304	406	926
305	407	923
306	407	920
307	408	918
308	409	915
309	409	911
310	410	908
311	410	906
312	411	903
313	412	900
314	412	897
315	413	895
316	414	892
317	414	889
318	415	886
319	416	884
320	416	881
321	417	878
322	417	876
323	418	873
324	419	870
325	419	868
326	420	865
327	421	862
328	421	860
329	422	857
330	422	854
331	423	852
332	424	849
333	424	847
334	425	844
335	426	841
336	426	839
337	427	836
338	427	834
339	428	831
340	429	829
341	429	826
342	430	824
343	431	821
344	431	819
345	432	817
346	432	814
347	433	812
348	434	809
349	434	807
350	435	804
351	435	802
352	436	799
353	437	797
354	437	795
355	438	792
356	438	790
357	439	788
358	440	785
359	440	783
360	441	781
361	441	778
362	442	776
363	443	774
364	443	772
365	444	769
366	445	767
367	445	765
368	446	763
369	446	760
370	447	758
371	448	756
372	448	754
373	449	752
374	450	750
375	450	747
376	451	745
377	451	743
378	452	741
379	453	739
380	453	737
381	454	734
382	454	732
383	455	730
384	456	728
385	456	726
386	457	724
387	457	722
388	458	719
389	459	717
390	459	715
391	460	713
392	460	711
393	461	709
394	462	707
395	462	705
396	463	703
397	463	701
398	464	699
399	465	697
400	465	695
401	466	693
402	467	691
403	467	689
404	468	688
405	469	686
406	469	684
407	470	682
408	470	680
409	471	678
410	472	676
411	472	674
412	473	672
413	474	671
414	475	669
415	475	668
416	476	666
417	477	664
418	477	662
419	478	660
420	479	658
421	479	657
422	480	655
423	481	653
424	481	651
425	482	650
426	483	648
427	483	646
428	484	644
429	484	642
430	485	641
431	486	639
432	486	637
433	487	635
434	488	634
435	488	632
436	489	630
437	490	628
438	490	627
439	491	625
440	491	623
441	492	621
442	493	619
443	493	618
444	494	616
445	495	614
446	495	613
447	496	611
448	497	610
449	497	608
450	498	606
451	499	605
452	499	603
453	500	601
454	501	600
455	501	598
456	502	597
457	503	595
458	503	593
459	504	592
460	504	590
461	505	588
462	506	587
463	506	585
464	507	583
465	508	582
466	508	580
467	509	578
468	509	577
469	510	575
470	510	573
471	511	572
472	512	570
473	512	569
474	513	567
475	513	565
476	514	564
477	515	562
478	515	560
479	516	559
480	516	557
481	517	556
482	518	554
483	518	552
484	519	551
485	519	549
486	520	548
487	521	546
488	521	545
489	522	543
490	522	542
491	523	540
492	524	539
493	524	537
494	525	536
495	526	534
496	526	532
497	527	531
498	527	529
499	528	528
500	529	526
501	529	525
502	530	523
503	530	522
504	531	520
505	531	519
506	532	517
507	533	516
508	534	515
509	534	513
510	535	512
511	536	511
512	537	509
513	537	508
514	538	507
515	539	505
516	539	504
517	540	503
518	541	501
519	542	500
520	542	499
521	543	497
522	544	496
523	545	495
524	546	494
525	547	493
526	547	491
527	548	490
528	549	489
529	550	487
530	550	486
531	551	485
532	552	484
533	553	482
534	553	481
535	554	479
536	555	478
537	555	477
538	556	475
539	556	474
540	557	473
541	558	471
542	559	470
543	559	469
544	560	467
545	561	466
546	561	465
547	562	463
548	562	462
549	563	461
550	564	459
551	565	458
552	565	457
553	566	456
554	567	454
555	567	453
556	568	452
557	569	450
558	569	449
559	570	448
560	571	447
561	571	445
562	572	444
563	573	443
564	573	441
565	574	440
566	575	439
567	575	437
568	576	436
569	577	435
570	577	434
571	578	432
572	579	431
573	579	430
574	580	429
575	581	427
576	581	426
577	582	425
578	583	423
579	583	422
580	584	421
581	585	420
582	585	419
583	586	417
584	587	416
585	587	415
586	588	413
587	588	412
588	589	411
589	590	410
590	590	408
591	591	407
592	592	406
593	592	405
594	593	403
595	593	402
596	594	401
597	594	399
598	595	398
599	596	397
600	597	396
601	597	395
602	598	394
603	599	393
604	600	391
605	601	390
606	602	389
607	602	388
608	603	387
609	604	386
610	605	385
611	605	384
612	606	382
613	607	381
614	607	380
615	608	379
616	609	378
617	610	377
618	611	376
619	611	374
620	612	373
621	613	372
622	613	371
623	614	370
624	615	369
625	616	368
626	617	367
627	617	366
628	618	364
629	619	363
630	620	362
631	621	361
632	621	360
633	622	359
